legacy_function,package_interface,caller_path,caller_category,migration_status,retention_reason,package_backend_dependency,deletion_eligible,unexpected_caller
build_stage_a_multiday_index,rkkt.indexing.build,src/indexing/build_stage_a3_index.m,deletion_candidate,future_deletion_candidate_not_authorized,历史阶段兼容包装；仅在五项删除门槛满足且用户另行批准后可评估,false,false,false
build_stage_a_multiday_index,rkkt.indexing.build,src/indexing/build_stage_a4_index.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
build_stage_a_multiday_linearization,rkkt.model.linearize,src/model/build_stage_a3_linearization.m,deletion_candidate,future_deletion_candidate_not_authorized,历史阶段兼容包装；仅在五项删除门槛满足且用户另行批准后可评估,false,false,false
build_stage_a_multiday_linearization,rkkt.model.linearize,src/model/build_stage_a4_linearization.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
build_stage_a_multiday_linearization,rkkt.model.linearize,src/model/initialize_stage_a4_state.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
build_stage_a4_index,rkkt.indexing.build,main_stage_A4_1.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
build_stage_a4_index,rkkt.indexing.build,main_stage_A4_2A.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
build_stage_a4_index,rkkt.indexing.build,main_stage_A4_2B.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
build_stage_a4_index,rkkt.indexing.build,main_stage_A4_2C.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
build_stage_a4_index,rkkt.indexing.build,main_stage_A4_2D_1.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
build_stage_a4_index,rkkt.indexing.build,main_stage_A4_2D_2A_R1.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
build_stage_a4_index,rkkt.indexing.build,main_stage_A4_2D_2A.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
build_stage_a4_index,rkkt.indexing.build,src/+rkkt/+indexing/+validation/run.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,模块人工验证保留新旧严格一致性对照,false,false,false
build_stage_a4_index,rkkt.indexing.build,src/+rkkt/+indexing/build.m,package_compatibility_backend,formal_top_level_migrated_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
build_stage_a4_index,rkkt.indexing.build,src/diagnostics/generate_stage_a4_rns1_stress_fixture.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
build_stage_a4_index,rkkt.indexing.build,tests/integration/test_stage_a4_3_formal_candidate.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
build_stage_a4_index,rkkt.indexing.build,tests/integration/test_stage_a4_common_step_ab_comparison.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
build_stage_a4_index,rkkt.indexing.build,tests/integration/test_stage_a4_result_artifacts.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
build_stage_a4_index,rkkt.indexing.build,tests/unit/test_pkg3_indexing_interface.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
build_stage_a4_index,rkkt.indexing.build,tests/unit/test_pkg8_call_migration.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
build_stage_a4_index,rkkt.indexing.build,tests/unit/test_stage_a4_model.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
build_stage_a4_linearization,rkkt.model.linearize,src/+rkkt/+model/+validation/runLinearization.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,模块人工验证保留新旧严格一致性对照,false,false,false
build_stage_a4_linearization,rkkt.model.linearize,src/+rkkt/+model/linearize.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
build_stage_a4_linearization,rkkt.model.linearize,src/diagnostics/build_stage_a4_scaled_objective_linearization.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
build_stage_a4_linearization,rkkt.model.linearize,src/diagnostics/execute_stage_a4_iteration.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
build_stage_a4_linearization,rkkt.model.linearize,src/diagnostics/run_stage_a4_scaled_objective_chain.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
build_stage_a4_linearization,rkkt.model.linearize,tests/unit/test_stage_a4_model.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,main_PKG_1.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,main_stage_0_test_evidence_addendum.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,main_stage_0.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,main_stage_A1.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,main_stage_A2.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,main_stage_A3.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,main_stage_A4_3.m,active_formal_orchestration,allowed_infrastructure_retained,允许保留的运行上下文基础设施；PKG-8未冻结对应工作流公共接口,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,src/diagnostics/run_stage0_acceptance.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,tests/integration/test_run_context.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,tests/integration/test_stage_a1_artifacts.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,tests/integration/test_stage_a2_artifacts.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,tests/integration/test_stage_a2_report.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,tests/integration/test_stage_a3_artifacts.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,tests/integration/test_stage_a3_report.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
create_run_context,无冻结公共接口（允许保留基础设施）,tests/integration/test_stage0_test_evidence_persistence.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
eliminate_stage_a_multiday_inequality_directions,rkkt.solver.eliminateInequalities,src/+rkkt/+solver/+validation/runReducedKKT.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,模块人工验证保留新旧严格一致性对照,false,false,false
eliminate_stage_a_multiday_inequality_directions,rkkt.solver.eliminateInequalities,src/+rkkt/+solver/eliminateInequalities.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
eliminate_stage_a_multiday_inequality_directions,rkkt.solver.eliminateInequalities,src/diagnostics/generate_stage_a4_rns1_stress_fixture.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
eliminate_stage_a_multiday_inequality_directions,rkkt.solver.eliminateInequalities,src/solver/eliminate_stage_a3_inequality_directions.m,deletion_candidate,future_deletion_candidate_not_authorized,历史阶段兼容包装；仅在五项删除门槛满足且用户另行批准后可评估,false,false,false
eliminate_stage_a_multiday_inequality_directions,rkkt.solver.eliminateInequalities,src/solver/solve_stage_a_multiday_recursive_direction.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
execute_stage_a4_iteration,rkkt.ipm.step,src/+rkkt/+ipm/step.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
execute_stage_a4_iteration,rkkt.ipm.step,src/diagnostics/run_stage_a4_five_iteration_diagnostic.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
execute_stage_a4_iteration,rkkt.ipm.step,src/diagnostics/run_stage_a4_scaled_objective_chain.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
execute_stage_a4_iteration,rkkt.ipm.step,src/diagnostics/run_stage_a4_single_iteration.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
execute_stage_a4_iteration,rkkt.ipm.step,src/solver/run_stage_a4_full_ipm.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
execute_stage_a4_iteration,rkkt.ipm.step,tests/integration/test_stage_a4_3_formal_candidate.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
execute_stage_a4_iteration,rkkt.ipm.step,tests/integration/test_stage_a4_common_step_ab_comparison.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
export_stage_a4_result_artifacts,rkkt.artifacts.export,src/+rkkt/+artifacts/export.m,package_compatibility_backend,formal_top_level_migrated_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
export_stage_a4_result_artifacts,rkkt.artifacts.export,tests/integration/test_stage_a4_result_artifacts.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
export_stage_a4_result_artifacts,rkkt.artifacts.export,tests/unit/test_pkg8_call_migration.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
form_stage_a_multiday_day_response,rkkt.solver.buildDayResponse,src/+rkkt/+solver/buildDayResponse.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
form_stage_a_multiday_day_response,rkkt.solver.buildDayResponse,src/diagnostics/generate_stage_a4_rns1_stress_fixture.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
form_stage_a_multiday_day_response,rkkt.solver.buildDayResponse,src/solver/form_stage_a3_day_response.m,deletion_candidate,future_deletion_candidate_not_authorized,历史阶段兼容包装；仅在五项删除门槛满足且用户另行批准后可评估,false,false,false
form_stage_a_multiday_day_response,rkkt.solver.buildDayResponse,src/solver/solve_stage_a_multiday_recursive_direction.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
generate_stage_a4_reports,rkkt.reporting.generate,src/+rkkt/+reporting/generate.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
generate_stage_a4_reports,rkkt.reporting.generate,tests/integration/test_stage_a4_report.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
generate_stage_a4_reports,rkkt.reporting.generate,tests/unit/test_pkg8_call_migration.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
initialize_stage_a_multiday_state,rkkt.model.initialize,src/model/initialize_stage_a3_state.m,deletion_candidate,future_deletion_candidate_not_authorized,历史阶段兼容包装；仅在五项删除门槛满足且用户另行批准后可评估,false,false,false
initialize_stage_a_multiday_state,rkkt.model.initialize,src/model/initialize_stage_a4_state.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
initialize_stage_a4_state,rkkt.model.initialize,src/+rkkt/+model/+validation/runState.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,模块人工验证保留新旧严格一致性对照,false,false,false
initialize_stage_a4_state,rkkt.model.initialize,src/+rkkt/+model/initialize.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
initialize_stage_a4_state,rkkt.model.initialize,src/diagnostics/run_stage_a4_five_iteration_diagnostic.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
initialize_stage_a4_state,rkkt.model.initialize,src/diagnostics/run_stage_a4_scaled_objective_chain.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
initialize_stage_a4_state,rkkt.model.initialize,src/diagnostics/run_stage_a4_single_iteration.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
initialize_stage_a4_state,rkkt.model.initialize,src/solver/run_stage_a4_full_ipm.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
initialize_stage_a4_state,rkkt.model.initialize,tests/integration/test_stage_a4_3_formal_candidate.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
initialize_stage_a4_state,rkkt.model.initialize,tests/integration/test_stage_a4_common_step_ab_comparison.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
initialize_stage_a4_state,rkkt.model.initialize,tests/integration/test_stage_a4_result_artifacts.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
initialize_stage_a4_state,rkkt.model.initialize,tests/unit/test_stage_a4_model.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,main_stage_A1.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,main_stage_A2.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,main_stage_A3.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,main_stage_A4_1.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,main_stage_A4_2A.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,main_stage_A4_2B.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,main_stage_A4_2C.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,main_stage_A4_2D_1.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,main_stage_A4_2D_2A_R1.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,main_stage_A4_2D_2A.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,src/+rkkt/+data/+validation/run.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,模块人工验证保留新旧严格一致性对照,false,false,false
load_project_data,rkkt.data.load,src/+rkkt/+data/load.m,package_compatibility_backend,formal_top_level_migrated_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
load_project_data,rkkt.data.load,src/diagnostics/generate_stage_a4_rns1_stress_fixture.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,src/diagnostics/run_stage0_acceptance.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
load_project_data,rkkt.data.load,tests/equivalence/test_stage_a1_direction_equivalence.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/equivalence/test_stage_a2_direction_equivalence.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/equivalence/test_stage_a3_direction_equivalence.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/equivalence/test_stage_a3_nonzero_binding_residual.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/integration/test_stage_a1_artifacts.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/integration/test_stage_a2_artifacts.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/integration/test_stage_a2_report.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/integration/test_stage_a3_artifacts.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/integration/test_stage_a3_report.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/integration/test_stage_a4_3_formal_candidate.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/integration/test_stage_a4_common_step_ab_comparison.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/integration/test_stage_a4_result_artifacts.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_canonical_index_framework.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_pkg2_data_interface.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage_a1_index.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage_a1_linearization.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage_a1_solver_components.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage_a2_index.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage_a2_linearization.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage_a2_solver_components.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage_a3_index.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage_a3_linearization.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage_a3_solver_components.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage_a4_model.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
load_project_data,rkkt.data.load,tests/unit/test_stage0_data_reader.m,regression_test,retained_as_regression_reference,回归测试或新旧严格一致性测试需要旧入口作为审计基准,false,false,false
partition_stage_a_multiday_recursive_system,rkkt.solver.partitionRecursiveSystem,src/+rkkt/+solver/partitionRecursiveSystem.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
partition_stage_a_multiday_recursive_system,rkkt.solver.partitionRecursiveSystem,src/diagnostics/generate_stage_a4_rns1_stress_fixture.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
partition_stage_a_multiday_recursive_system,rkkt.solver.partitionRecursiveSystem,src/solver/partition_stage_a3_recursive_system.m,deletion_candidate,future_deletion_candidate_not_authorized,历史阶段兼容包装；仅在五项删除门槛满足且用户另行批准后可评估,false,false,false
partition_stage_a_multiday_recursive_system,rkkt.solver.partitionRecursiveSystem,src/solver/solve_stage_a_multiday_recursive_direction.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
recover_stage_a_multiday_recursive_direction,rkkt.solver.recoverDirection,src/+rkkt/+solver/recoverDirection.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
recover_stage_a_multiday_recursive_direction,rkkt.solver.recoverDirection,src/solver/recover_stage_a3_recursive_direction.m,deletion_candidate,future_deletion_candidate_not_authorized,历史阶段兼容包装；仅在五项删除门槛满足且用户另行批准后可评估,false,false,false
recover_stage_a_multiday_recursive_direction,rkkt.solver.recoverDirection,src/solver/solve_stage_a_multiday_recursive_direction.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
run_stage_a4_full_ipm,rkkt.ipm.solve,src/+rkkt/+ipm/solve.m,package_compatibility_backend,formal_top_level_migrated_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
solve_block_thomas_ldl,rkkt.solver.solveDayChain,src/+rkkt/+solver/solveDayChain.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
