module_id,中文模块,包内生产实现,公共接口,人工验证入口,固定上一级输入,实现文件,implementation_status,caller_status,compatibility_retention
REPORTING,中文报告,rkkt.reporting.generate_stage_a4_reports,rkkt.reporting.generate,无独立人工数值入口,正式run工件,src/+rkkt/+reporting/generate_stage_a4_reports.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B1_WORKFLOW,Stage B-1正式流程,rkkt.workflows.stageB1,rkkt.workflows.stageB1,正式工作流自身,ProjectRoot与RunId,src/+rkkt/+workflows/stageB1.m,DIRECT_IMPLEMENTATION,DIRECT_PACKAGE_CALL,NONE
STAGE_B2A_WORKFLOW,Stage B-2A正式流程,rkkt.workflows.stageB2A,rkkt.workflows.stageB2A,正式工作流自身,ProjectRoot与RunId,src/+rkkt/+workflows/stageB2A.m,DIRECT_IMPLEMENTATION,DIRECT_PACKAGE_CALL,NONE
STAGE_B2B_WORKFLOW,Stage B-2B正式流程,rkkt.workflows.stageB2B,rkkt.workflows.stageB2B,正式工作流自身,ProjectRoot与RunId,src/+rkkt/+workflows/stageB2B.m,DIRECT_IMPLEMENTATION,DIRECT_PACKAGE_CALL,NONE
STAGE_B_WATER,Stage B日级水量函数,rkkt.model.evaluate_stage_b_daily_hydro_water,rkkt.data.evaluateStageBDailyHydroWater,rkkt.data.validation.runStageB1,受控data对象,src/+rkkt/+model/evaluate_stage_b_daily_hydro_water.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B2A_INDEX,Stage B-2A索引,rkkt.indexing.build_stage_b_index,rkkt.indexing.buildStageB2A,rkkt.indexing.validation.runStageB2A,data与B-2A config,src/+rkkt/+indexing/build_stage_b_index.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B2B_INDEX,Stage B-2B索引,rkkt.indexing.build_stage_b2b_index,rkkt.indexing.buildStageB2B,rkkt.solver.validation.runStageB2B,data与B-2B config,src/+rkkt/+indexing/build_stage_b2b_index.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B2A_STATE,Stage B-2A状态,rkkt.model.initialize_stage_b2a_state,rkkt.model.initializeStageB2A,rkkt.model.validation.runStageB2A,data与index与config,src/+rkkt/+model/initialize_stage_b2a_state.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B2A_LINEARIZATION,Stage B-2A线性化,rkkt.model.build_stage_b_multiday_linearization,rkkt.model.linearizeStageB2A,rkkt.model.validation.runStageB2A,显式state与data与index与config,src/+rkkt/+model/build_stage_b_multiday_linearization.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B2B_STATE,Stage B-2B状态,rkkt.model.initialize_stage_b2b_state,rkkt.model.initializeStageB2B,rkkt.solver.validation.runStageB2B,data与index与config,src/+rkkt/+model/initialize_stage_b2b_state.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B2B_LINEARIZATION,Stage B-2B线性化,rkkt.model.build_stage_b2b_multiday_linearization,rkkt.model.linearizeStageB2B,rkkt.solver.validation.runStageB2B,显式state与data与index与config,src/+rkkt/+model/build_stage_b2b_multiday_linearization.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B2A_FULL_KKT,Stage B-2A完整KKT装配,rkkt.solver.assemble_stage_b_multiday_full_kkt,rkkt.solver.assembleStageB2AFullKKT,PKG-9增量等价测试,唯一linearization,src/+rkkt/+solver/assemble_stage_b_multiday_full_kkt.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B2B_RECURSIVE,Stage B-2B递推方向,rkkt.solver.solve_stage_b2b_recursive_direction,rkkt.solver.solveStageB2BRecursiveDirection,rkkt.solver.validation.runStageB2B,唯一linearization,src/+rkkt/+solver/solve_stage_b2b_recursive_direction.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B2B_FULL_AUDIT,Stage B-2B完整方向审计,rkkt.solver.solve_stage_b2b_full_kkt_direction,rkkt.solver.solveStageB2BFullKKTDirection,rkkt.solver.validation.runStageB2B,唯一linearization,src/+rkkt/+solver/solve_stage_b2b_full_kkt_direction.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_B2B_EQUIVALENCE,Stage B-2B方向等价审计,rkkt.solver.verify_stage_b2b_direction_equivalence,rkkt.solver.verifyStageB2BDirectionEquivalence,rkkt.solver.validation.runStageB2B,同一递推与完整审计方向,src/+rkkt/+solver/verify_stage_b2b_direction_equivalence.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STAGE_A4_WORKFLOW,七日正式A4运行链,rkkt.workflows.stageA4,rkkt.workflows.stageA4,RUN_PROJECT.m,data与显式config与index及正式runContext,src/+rkkt/+workflows/stageA4.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
PACKAGE_CLOSURE,固定测试报告与终态收口,rkkt.workflows.completePackageClosureA4,rkkt.workflows.completePackageClosureA4,RUN_PROJECT.m,stageA4数值结果与唯一RUNNING manifest,src/+rkkt/+workflows/completePackageClosureA4.m,DIRECT_IMPLEMENTATION,DIRECT_PACKAGE_CALL,NONE
RUN_INDEX,不可变运行历史紧凑索引,rkkt.artifacts.update_run_index,rkkt.artifacts.update_run_index,RUN_PROJECT.m,runContext与manifest,src/+rkkt/+artifacts/update_run_index.m,DIRECT_IMPLEMENTATION,DIRECT_PACKAGE_CALL,NONE
