checkId,item,sourceFile,sheet,sectionLabel,locator,expectedShape,actualShape,headerRow,dataStartRow,dataEndRow,minValue,maxValue,status,details,unit
S0-DATA-002,hydro generator table,基础参数.xlsx,基础参数,已知机组参数,sheet+unique section label+complete contiguous header,4x7,4x7,39,40,43,0,355.56999999999999,PASS,,
S0-DATA-005,constraint parameters,基础参数.xlsx,基础参数,约束参数,sheet+unique section label+complete contiguous header,1x15,1x15,44,45,45,0,10000,PASS,Plan base is 10000 MW.,
S0-DATA-004,time metadata,输入数据.xlsx,Sheet1,基本参数,sheet+unique section label+complete contiguous header,1x3,1x3,1,2,2,24,365,PASS,"365 days, 24 periods/day, 60 minutes/period.",
S0-DATA-004,1号水电 daily water,输入数据.xlsx,Sheet1,1号水电,sheet+unique section label+complete contiguous header,365x3,365x3,3,4,368,1,90997.339999999997,PASS,Day column is exactly 1:365.,
S0-DATA-004,2号水电 daily water,输入数据.xlsx,Sheet1,2号水电,sheet+unique section label+complete contiguous header,365x3,365x3,369,370,734,1,90980.380000000005,PASS,Day column is exactly 1:365.,
S0-DATA-004,3号水电 daily water,输入数据.xlsx,Sheet1,3号水电,sheet+unique section label+complete contiguous header,365x3,365x3,735,736,1100,1,47985.389999999999,PASS,Day column is exactly 1:365.,
S0-DATA-004,4号水电 daily water,输入数据.xlsx,Sheet1,4号水电,sheet+unique section label+complete contiguous header,365x3,365x3,1101,1102,1466,1,47996.559999999998,PASS,Day column is exactly 1:365.,
S0-DATA-004,1号风电 availability,输入数据.xlsx,Sheet1,1号风电,sheet+unique section label+complete contiguous header,365x25,365x25,1467,1468,1832,0,365,PASS,"Availability is finite and in [0,1].",
S0-DATA-004,2号风电 availability,输入数据.xlsx,Sheet1,2号风电,sheet+unique section label+complete contiguous header,365x25,365x25,1833,1834,2198,0,365,PASS,"Availability is finite and in [0,1].",
S0-DATA-004,3号风电 availability,输入数据.xlsx,Sheet1,3号风电,sheet+unique section label+complete contiguous header,365x25,365x25,2199,2200,2564,0,365,PASS,"Availability is finite and in [0,1].",
S0-DATA-004,4号风电 availability,输入数据.xlsx,Sheet1,4号风电,sheet+unique section label+complete contiguous header,365x25,365x25,2565,2566,2930,0,365,PASS,"Availability is finite and in [0,1].",
S0-DATA-004,5号风电 availability,输入数据.xlsx,Sheet1,5号风电,sheet+unique section label+complete contiguous header,365x25,365x25,2931,2932,3296,0,365,PASS,"Availability is finite and in [0,1].",
S0-DATA-004,1号光伏 availability,输入数据.xlsx,Sheet1,1号光伏,sheet+unique section label+complete contiguous header,365x25,365x25,3297,3298,3662,0,365,PASS,"Availability is finite and in [0,1].",
S0-DATA-004,2号光伏 availability,输入数据.xlsx,Sheet1,2号光伏,sheet+unique section label+complete contiguous header,365x25,365x25,3663,3664,4028,0,365,PASS,"Availability is finite and in [0,1].",
S0-DATA-004,3号光伏 availability,输入数据.xlsx,Sheet1,3号光伏,sheet+unique section label+complete contiguous header,365x25,365x25,4029,4030,4394,0,365,PASS,"Availability is finite and in [0,1].",
S0-DATA-004,4号光伏 availability,输入数据.xlsx,Sheet1,4号光伏,sheet+unique section label+complete contiguous header,365x25,365x25,4395,4396,4760,0,365,PASS,"Availability is finite and in [0,1].",
S0-DATA-004,5号光伏 availability,输入数据.xlsx,Sheet1,5号光伏,sheet+unique section label+complete contiguous header,365x25,365x25,4761,4762,5126,0,365,PASS,"Availability is finite and in [0,1].",
S0-DATA-005,energy-base plan per unit,输入数据.xlsx,Sheet1,能源基地,sheet+unique section label+complete contiguous header,365x25,365x25,5127,5128,5492,0.20699999999999999,365,PASS,"Converted with 10000 MW base; planMW range=[2070, 9860].",
